CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;159882.45179;424297.40617;9.180000;AD642M50;;
999;999;159882.57245;424298.39887;9.168800;AD642M50;;
999;999;159882.69312;424299.39156;9.160000;AD642M50;;
999;999;159882.81379;424300.38425;9.159000;AD642M50;;
999;999;159882.93445;424301.37695;9.170900;AD642M50;;
999;999;159883.05512;424302.36964;9.160400;AD642M50;;
999;999;159883.17579;424303.36233;9.190000;AD642M50;;
999;999;159883.29645;424304.35503;9.188400;AD642M50;;
999;999;159883.41712;424305.34772;9.195400;AD642M50;;
999;999;159883.53779;424306.34041;9.213700;AD642M50;;
999;999;159883.65846;424307.33311;9.206200;AD642M50;;
999;999;159883.77912;424308.32580;9.209600;AD642M50;;
999;999;159883.89979;424309.31849;9.208500;AD642M50;;
999;999;159884.02046;424310.31118;9.218100;AD642M50;;
999;999;159884.14112;424311.30388;9.180100;AD642M50;;
999;999;159884.26179;424312.29657;9.175800;AD642M50;;
999;999;159884.38246;424313.28926;9.153700;AD642M50;;
999;999;159884.50312;424314.28196;9.139800;AD642M50;;
999;999;159884.62379;424315.27465;9.163700;AD642M50;;
999;999;159884.74446;424316.26734;9.140000;AD642M50;;
999;999;159884.86512;424317.26004;9.116600;AD642M50;;
999;999;159884.98579;424318.25273;9.112900;AD642M50;;
999;999;159885.10646;424319.24542;9.092200;AD642M50;;
999;999;159885.22712;424320.23811;9.059600;AD642M50;;
999;999;159885.34779;424321.23081;8.944600;AD642M50;;
999;999;159885.46846;424322.22350;8.821000;AD642M50;;
999;999;159885.58912;424323.21619;8.803700;AD642M50;;
999;999;159885.70979;424324.20889;8.642200;AD642M50;;
999;999;159885.83046;424325.20158;8.509900;AD642M50;;
999;999;159885.95113;424326.19427;8.483700;AD642M50;;
999;999;159886.07179;424327.18697;8.373800;AD642M50;;
999;999;159886.19246;424328.17966;8.136000;AD642M50;;
999;999;159886.31313;424329.17235;7.954800;AD642M50;;
999;999;159886.43379;424330.16505;7.680700;AD642M50;;
999;999;159886.55446;424331.15774;7.311200;AD642M50;;
999;999;159886.67513;424332.15043;7.016600;AD642M50;;
999;999;159886.79579;424333.14312;6.740000;AD642M50;;
999;999;159886.91646;424334.13582;6.770000;AD642M50;;
999;999;159887.03713;424335.12851;6.680100;AD642M50;;
999;999;159887.15779;424336.12120;6.703900;AD642M50;;
999;999;159887.27846;424337.11390;6.640000;AD642M50;;
999;999;159887.39913;424338.10659;6.627000;AD642M50;;
999;999;159887.51979;424339.09928;6.571200;AD642M50;;
999;999;159887.64046;424340.09198;6.606700;AD642M50;;
999;999;159887.76113;424341.08467;6.560000;AD642M50;;
999;999;159887.88180;424342.07736;6.591100;AD642M50;;
999;999;159888.00246;424343.07006;6.624400;AD642M50;;
999;999;159888.12313;424344.06275;6.618800;AD642M50;;
999;999;159888.24380;424345.05544;6.610000;AD642M50;;
999;999;159888.36446;424346.04813;6.600000;AD642M50;;
999;999;159888.48513;424347.04083;6.520000;AD642M50;;
999;999;159888.60580;424348.03352;6.478600;AD642M50;;
999;999;159888.72646;424349.02621;6.468100;AD642M50;;
999;999;159888.84713;424350.01891;6.420000;AD642M50;;
999;999;159888.96780;424351.01160;6.439300;AD642M50;;
999;999;159889.08846;424352.00429;6.451700;AD642M50;;
999;999;159889.20913;424352.99699;6.426400;AD642M50;;
999;999;159889.32980;424353.98968;6.443400;AD642M50;;
999;999;159889.45046;424354.98237;6.455400;AD642M50;;
999;999;159889.57113;424355.97506;6.438400;AD642M50;;
999;999;159889.69180;424356.96776;6.511200;AD642M50;;
999;999;159889.81247;424357.96045;6.487600;AD642M50;;
999;999;159889.93313;424358.95314;6.473700;AD642M50;;
999;999;159890.05380;424359.94584;6.484000;AD642M50;;
999;999;159890.17447;424360.93853;6.452900;AD642M50;;
999;999;159890.29513;424361.93122;6.461700;AD642M50;;
999;999;159890.41580;424362.92392;6.380400;AD642M50;;
999;999;159890.53647;424363.91661;6.387200;AD642M50;;
999;999;159890.65713;424364.90930;6.364300;AD642M50;;
999;999;159890.77780;424365.90200;6.303400;AD642M50;;
999;999;159890.89847;424366.89469;6.294400;AD642M50;;
999;999;159891.01913;424367.88738;6.339600;AD642M50;;
999;999;159891.13980;424368.88007;6.320000;AD642M50;;
999;999;159891.26047;424369.87277;6.326400;AD642M50;;
999;999;159891.38113;424370.86546;6.332900;AD642M50;;
999;999;159891.50180;424371.85815;6.328400;AD642M50;;
999;999;159891.62247;424372.85085;6.319200;AD642M50;;
999;999;159620.88545;424203.44846;5.548300;AD645M00;;
999;999;159620.98947;424204.44303;5.537200;AD645M00;;
999;999;159621.09349;424205.43761;5.538500;AD645M00;;
999;999;159621.19751;424206.43218;5.532200;AD645M00;;
999;999;159621.30153;424207.42676;5.536600;AD645M00;;
999;999;159621.40555;424208.42133;5.532400;AD645M00;;
999;999;159621.50956;424209.41591;5.555700;AD645M00;;
999;999;159621.61358;424210.41049;5.554400;AD645M00;;
999;999;159621.71760;424211.40506;5.543400;AD645M00;;
999;999;159621.82162;424212.39964;5.545100;AD645M00;;
999;999;159621.92564;424213.39421;5.522200;AD645M00;;
999;999;159622.02965;424214.38879;5.570000;AD645M00;;
999;999;159622.13367;424215.38336;5.564400;AD645M00;;
999;999;159622.23769;424216.37794;5.572000;AD645M00;;
999;999;159622.34171;424217.37251;5.480000;AD645M00;;
999;999;159622.44573;424218.36709;5.499900;AD645M00;;
999;999;159622.54974;424219.36166;5.509400;AD645M00;;
999;999;159622.65376;424220.35624;5.483600;AD645M00;;
999;999;159622.75778;424221.35081;5.493300;AD645M00;;
999;999;159622.86180;424222.34539;5.515300;AD645M00;;
999;999;159622.96582;424223.33997;5.418200;AD645M00;;
999;999;159623.06984;424224.33454;5.470800;AD645M00;;
999;999;159623.17385;424225.32912;5.495400;AD645M00;;
999;999;159623.27787;424226.32369;5.530000;AD645M00;;
999;999;159623.38189;424227.31827;5.520000;AD645M00;;
999;999;159623.48591;424228.31284;5.512700;AD645M00;;
999;999;159623.58993;424229.30742;5.511400;AD645M00;;
999;999;159623.69394;424230.30199;5.508300;AD645M00;;
999;999;159623.79796;424231.29657;5.470000;AD645M00;;
999;999;159623.90198;424232.29114;5.518900;AD645M00;;
999;999;159624.00600;424233.28572;999999.000000;AD645M00;;
999;999;159624.11002;424234.28029;5.540000;AD645M00;;
999;999;159624.21404;424235.27487;5.514900;AD645M00;;
999;999;159624.31805;424236.26945;999999.000000;AD645M00;;
999;999;159624.42207;424237.26402;5.501800;AD645M00;;
999;999;159624.52609;424238.25860;5.498500;AD645M00;;
999;999;159624.63011;424239.25317;5.483500;AD645M00;;
999;999;159624.73413;424240.24775;5.490400;AD645M00;;
999;999;159624.83814;424241.24232;5.505000;AD645M00;;
