CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75386.64;437328.97;0.64;RB0.03
99;999;75386.23;437328.69;0.62;RB0.03
99;999;75385.82;437328.41;0.61;RB0.03
99;999;75385.4;437328.12;0.62;RB0.03
99;999;75384.99;437327.84;0.63;RB0.03
99;999;75384.58;437327.56;0.62;RB0.03
99;999;75384.16;437327.28;0.63;RB0.03
99;999;75383.75;437327;0.61;RB0.03
99;999;75383.34;437326.72;0.61;RB0.03
99;999;75382.93;437326.43;0.61;RB0.03
99;999;75382.51;437326.15;0.61;RB0.03
99;999;75382.1;437325.87;0.61;RB0.03
99;999;75381.69;437325.59;0.6;RB0.03
99;999;75381.27;437325.31;0.6;RB0.03
99;999;75380.86;437325.02;0.63;RB0.03
99;999;75380.45;437324.74;0.61;RB0.03
99;999;75380.03;437324.46;0.61;RB0.03
99;999;75379.62;437324.18;0.61;RB0.03
99;999;75379.21;437323.9;0.6;RB0.03
99;999;75378.8;437323.62;0.62;RB0.03
99;999;75378.38;437323.33;0.62;RB0.03
99;999;75377.97;437323.05;0.62;RB0.03
99;999;75377.56;437322.77;0.62;RB0.03
99;999;75377.14;437322.49;0.61;RB0.03
99;999;75376.73;437322.21;0.63;RB0.03
99;999;75376.32;437321.93;0.63;RB0.03
99;999;75375.9;437321.64;0.63;RB0.03
99;999;75375.49;437321.36;0;RB0.03
99;999;75375.08;437321.08;0.6;RB0.03
99;999;75374.66;437320.8;0.62;RB0.03
99;999;75374.25;437320.52;0.61;RB0.03
99;999;75373.84;437320.23;0.63;RB0.03
99;999;75373.43;437319.95;0.63;RB0.03
99;999;75373.01;437319.67;0;RB0.03
99;999;75372.6;437319.39;0;RB0.03
99;999;75372.19;437319.11;0;RB0.03
99;999;75371.77;437318.83;0;RB0.03
99;999;75371.36;437318.54;0;RB0.03
99;999;75370.95;437318.26;0;RB0.03
99;999;75370.53;437317.98;0;RB0.03
99;999;75370.12;437317.7;0;RB0.03
99;999;75369.71;437317.42;0;RB0.03
99;999;75369.3;437317.13;0;RB0.03
99;999;75368.88;437316.85;0;RB0.03
99;999;75368.47;437316.57;0;RB0.03
99;999;75368.06;437316.29;0;RB0.03
99;999;75367.64;437316.01;0;RB0.03
99;999;75367.23;437315.73;0.63;RB0.03
99;999;75366.82;437315.44;0.62;RB0.03
99;999;75366.4;437315.16;0.61;RB0.03
99;999;75365.99;437314.88;0.62;RB0.03
99;999;75365.58;437314.6;0.63;RB0.03
99;999;75365.17;437314.32;0.63;RB0.03
99;999;75364.75;437314.03;0.63;RB0.03
99;999;75364.34;437313.75;0.63;RB0.03
99;999;75363.93;437313.47;0.64;RB0.03
99;999;75363.51;437313.19;0.64;RB0.03
99;999;75363.1;437312.91;0.61;RB0.03
99;999;75362.69;437312.63;0.61;RB0.03
99;999;75362.27;437312.34;0.62;RB0.03
99;999;75361.86;437312.06;0.62;RB0.03
99;999;75361.45;437311.78;0.61;RB0.03
99;999;75361.04;437311.5;0.62;RB0.03
99;999;75360.62;437311.22;0.62;RB0.03
99;999;75360.21;437310.93;0.62;RB0.03
99;999;75359.8;437310.65;0.62;RB0.03
99;999;75359.38;437310.37;0.63;RB0.03
99;999;75358.97;437310.09;0.64;RB0.03
99;999;75358.56;437309.81;0;RB0.03
99;999;75358.14;437309.53;0;RB0.03
99;999;75357.73;437309.24;0;RB0.03
99;999;75357.32;437308.96;0;RB0.03
99;999;75356.91;437308.68;0;RB0.03
99;999;75356.49;437308.4;0;RB0.03
99;999;75356.08;437308.12;0;RB0.03
99;999;75355.67;437307.83;0;RB0.03
99;999;75355.25;437307.55;0.63;RB0.03
99;999;75354.84;437307.27;0.63;RB0.03
99;999;75354.43;437306.99;0.63;RB0.03
99;999;75354.01;437306.71;0;RB0.03
99;999;75353.6;437306.43;0;RB0.03
99;999;75353.19;437306.14;0;RB0.03
99;999;75352.77;437305.86;0;RB0.03
99;999;75352.36;437305.58;0;RB0.03
99;999;75351.95;437305.3;0;RB0.03
99;999;75351.54;437305.02;0.63;RB0.03
99;999;75351.12;437304.73;0.59;RB0.03
99;999;75350.71;437304.45;0.61;RB0.03
99;999;75350.3;437304.17;0;RB0.03
99;999;75349.88;437303.89;0;RB0.03
99;999;75349.47;437303.61;0;RB0.03
99;999;75349.06;437303.33;0;RB0.03
99;999;75348.64;437303.04;0;RB0.03
99;999;75348.23;437302.76;0;RB0.03
99;999;75347.82;437302.48;0;RB0.03
99;999;75347.41;437302.2;0;RB0.03
99;999;75346.99;437301.92;0;RB0.03
99;999;75346.58;437301.63;0;RB0.03
99;999;75346.17;437301.35;0.59;RB0.03
99;999;75345.75;437301.07;0.59;RB0.03
99;999;75345.34;437300.79;0.59;RB0.03
99;999;75344.93;437300.51;0;RB0.03
99;999;75344.51;437300.23;0;RB0.03
99;999;75344.1;437299.94;0;RB0.03
99;999;75343.69;437299.66;0;RB0.03
99;999;75343.28;437299.38;0;RB0.03
99;999;75342.86;437299.1;0;RB0.03
99;999;75342.45;437298.82;0;RB0.03
99;999;75342.04;437298.53;0;RB0.03
99;999;75341.62;437298.25;0;RB0.03
99;999;75341.21;437297.97;0;RB0.03
99;999;75340.8;437297.69;0;RB0.03
99;999;75340.38;437297.41;0;RB0.03
99;999;75339.97;437297.13;0;RB0.03
99;999;75339.56;437296.84;0;RB0.03
99;999;75339.15;437296.56;0;RB0.03
99;999;75338.73;437296.28;0;RB0.03
99;999;75338.32;437296;0;RB0.03
99;999;75337.91;437295.72;0;RB0.03
99;999;75337.49;437295.43;0;RB0.03
99;999;75337.08;437295.15;0;RB0.03
99;999;75336.67;437294.87;0;RB0.03
99;999;75336.25;437294.59;0;RB0.03
99;999;75335.84;437294.31;0;RB0.03
99;999;75335.43;437294.03;0;RB0.03
99;999;75335.02;437293.74;0;RB0.03
99;999;75334.6;437293.46;0;RB0.03
99;999;75334.19;437293.18;0;RB0.03
99;999;75333.78;437292.9;0;RB0.03
99;999;75333.36;437292.62;0;RB0.03
99;999;75332.95;437292.33;0;RB0.03
99;999;75332.54;437292.05;0;RB0.03
99;999;75332.12;437291.77;0;RB0.03
99;999;75331.71;437291.49;0;RB0.03
99;999;75331.3;437291.21;0;RB0.03
99;999;75330.89;437290.93;0;RB0.03
99;999;75330.47;437290.64;0;RB0.03
99;999;75330.06;437290.36;0;RB0.03
99;999;75329.65;437290.08;0;RB0.03
99;999;75329.23;437289.8;0;RB0.03
99;999;75328.82;437289.52;0;RB0.03
99;999;75328.41;437289.23;0;RB0.03
99;999;75327.99;437288.95;0;RB0.03
99;999;75327.58;437288.67;0;RB0.03
99;999;75327.17;437288.39;0;RB0.03
99;999;75326.75;437288.11;0;RB0.03
99;999;75326.34;437287.83;0;RB0.03
99;999;75325.93;437287.54;0;RB0.03
99;999;75325.52;437287.26;0;RB0.03
99;999;75325.1;437286.98;0;RB0.03
